Incident,Time,Nature,Address
14F145866,15:09:57,43 DISTURBANCE,6700 CLOVERCREST DR
14F145867,15:22:22,25 PD ACCIDENT,100 MAIN ST E & CLINTON ST S
14F145871,15:22:23,22I JUV INVEST,7200 STATE BLVD E
14F145868,15:25:34,44LM,6600 CLOVERCREST DR
14F145869,15:29:37,48 SUSPICIOUS,2800 HOLTON AVE
14F145872,15:32:54,27 RECKLESS DRI,2900 SOUTHWAYNE AVE & HOME AVE
14F145873,15:40:31,66V MENTAL VIOL,300 WASHINGTON BLVD E
14F145875,15:42:31,27 RECKLESS DRI,300 DUPONT RD W & DAWSONS CREEK BL
14F145874,15:44:39,63 CONTACT,9800 SERPENTINE CV
14F145877,15:46:34,"48,36",1500 BOONE ST
14F145878,15:46:34,"102,TX THREATS",7100 CHIVINGTON DR
14F145876,15:49:12,30 TRAFFIC STOP,600 CREIGHTON AVE W
14F145885,15:50:01,66 72 HOUR,7900 JEFFERSON BLVD W
14F145879,15:51:01,43 DISTURBANCE,1100 HIGH ST
14F145880,15:56:33,55 FIGHT,1300 ST MARYS AVE
14F145883,16:03:22,45 NEIGHBORHOOD,1500 TULIP TREE RD
14F145884,16:03:49,911 HANG UP,200 PETTIT AVE E
14F145881,16:04:26,"15,84 ASS URGEN",3500 CONGRESS AVE
14F145882,16:05:49,23 VANDALISM,6900 PIEGAN PL
14F145886,16:08:31,44FW,3000 WILLOW OAKS DR
14F145887,16:17:56,25 PD ACCIDENT,4200 COLDWATER RD
14F145888,16:18:30,911 HANG UP,500 CLAYTON AVE
14F145890,16:21:08,63 CONTACT,2800 BROADWAY & HOME AVE
14F145891,16:30:08,"48,36",7000 GOODRICH RD & HADLEY RD S
14F145892,16:40:24,911 HANG UP,2400 FAIRFIELD AVE
14F145893,16:42:01,911 HANG UP,200 DOUGLAS AVE E
14F145894,16:44:33,911 HANG UP,1100 MARGARET AVE
14F145895,16:47:15,63 CONTACT,3900 WENONAH LN
14F145897,16:51:15,48 SUSPICIOUS,2100 CHARTWELL DR
14F145896,16:52:34,83 INFO REPORT,400 DUNNWOOD DR
14F145898,17:01:32,66V MENTAL VIOL,300 WASHINGTON BLVD E
14F145901,17:07:46,42 INTOX PERSON,1600 SPRING ST
14F145906,17:09:05,47 REMOVE ITEMS,2900 BROADWAY
14F145900,17:10:12,22RC RECOVERY,1100 HARMAR ST & MADISON ST
14F145899,17:10:30,911 HANG UP,1100 STATE BLVD W
14F145903,17:15:59,43 DISTURBANCE,2300 HOLTON AVE
14F145902,17:16:02,83 INFO REPORT,00 MAIN ST E
