Incident,Time,Nature,Address
14F144218,17:19:42,51 THEFT,1700 LAFAYETTE ST S
14F144224,17:28:27,1 MEET,2500 TYLER AVE
14F144220,17:30:34,25HS HIT SKIP,7300 MILL RUN DR
14F144221,17:32:45,25 PD ACCIDENT,700 LADDIE LN & COLDWATER RD
14F144223,17:34:42,25 PD ACCIDENT,100 TILL RD E & DAWSONS CREEK BLVD
14F144222,17:35:03,43 DISTURBANCE,4700 REED ST
14F144225,17:40:42,25 PD ACCIDENT,9500 LIBERTY MILLS RD & ROLLING HI
14F144226,17:42:38,"51,35",1300 BOONE ST
14F144228,17:44:15,25 PD ACCIDENT,7900 JEFFERSON BLVD W
14F144230,17:44:51,"33,34",3000 STATE BLVD W & LINDENWOOD AVE
14F144227,17:45:10,25 PD ACCIDENT,200 WILLIAMS ST E & BARR ST S
14F144229,17:47:22,911 HANG UP,1500 APPLE GLEN BLVD
14F144231,17:48:12,25 PD ACCIDENT,5300 LILLIE ST
14F144235,17:48:50,911 HANG UP,6800 JOHN ST
14F144234,17:49:55,45 NEIGHBORHOOD,3400 HARRISON ST S
14F144232,17:49:57,16V PICKUP VID,00 MAIN ST E
14F144233,17:49:58,911 HANG UP,1200 FAIRVIEW AVE
14F144237,17:54:29,EMS,2000 HOBSON RD
14F144236,17:57:45,30 TRAFFIC STOP,100 WASHINGTON BLVD W & HARRISON S
14F144238,18:02:05,911 HANG UP,4700 AVONDALE DR
14F144239,18:03:46,911 HANG UP,3700 TRACE CIR
14F144240,18:10:05,40A AUDIBLE,5900 HOMESTEAD RD
14F144242,18:10:28,102 THREATS,3300 COLISEUM BLVD W
14F144241,18:11:31,"102,TX THREATS",900 EASTLAWN DR
14F144244,18:13:05,37 PARKING VIOL,100 WAYNE ST W
14F144243,18:14:54,25 PD ACCIDENT,4100 WASHINGTON CENTER RD W & GOSH
14F144245,18:20:19,911 HANG UP,2300 CLINTON ST S
14F144247,18:24:37,911 HANG UP,3900 DUPONT RD E
14F144246,18:28:04,65T SUICIDE THR,3900 CLINTON ST N
14F144248,18:31:29,911 HANG UP,3000 QUEEN ST
14F144249,18:33:04,911 HANG UP,4700 REED ST
14F144250,18:37:59,30 TRAFFIC STOP,400 BROYLES BLVD N & ST JOE RD
14F144251,18:45:02,30 TRAFFIC STOP,1200 CAPITOL AVE & BOWSER AVE
14F144252,18:47:05,"48,36",300 PAULDING RD E & LAFAYETTE ST S
14F144253,18:49:26,30 TRAFFIC STOP,1000 TECUMSEH ST & LAKE AVE
14F144254,18:49:27,"48,36",10300 COPPER TREE PL & SHADOW RIDG
14F144256,18:50:12,911 HANG UP,3600 MCCORMICK AVE
14F144257,18:53:55,911 HANG UP,5700 THORNBRIAR LN
14F144255,18:55:15,30 TRAFFIC STOP,8100 LIMA RD & NORTHLAND BLVD
14F144259,19:00:01,47 REMOVE ITEMS,3600 REED ST
14F144258,19:00:31,24 MISSING PERS,2200 WELLS ST
14F144260,19:05:44,129,200 PETTIT AVE E
14F144261,19:06:15,129,1000 FAYETTE DR
14F144262,19:07:04,30 TRAFFIC STOP,800 FRANCIS ST & WAYNE ST E
14F144263,19:07:56,46 DOMESTIC,700 GREENLAWN AVE
14F144264,19:09:24,911 HANG UP,500 BAXTER ST
14F144265,19:09:46,25 PD ACCIDENT,4300 LIMA RD & COLISEUM BLVD W
14F144266,19:16:46,30 TRAFFIC STOP,100 JEFFERSON BLVD E & CALHOUN ST
14F144267,19:17:39,44LM,900 BERRY ST E
14F144268,19:27:24,75 PURSUIT,12600 COLDWATER RD & UNION CHAPEL
14F144270,19:29:41,25 PD ACCIDENT,700 COLISEUM BLVD E
14F144269,19:30:59,30 TRAFFIC STOP,5700 DECATUR RD & PAULDING RD E
14F144274,19:38:36,50 BURGLARY,2000 MCKINNIE AVE
14F144271,19:41:25,911 HANG UP,1200 CURDES AVE
14F144272,19:44:22,911 HANG UP,2700 PLAZA DR
14F144273,19:44:59,25HS HIT SKIP,3000 WHITE OAK AVE & VANCE AVE
14F144275,19:48:17,43 DISTURBANCE,1800 RIVER RUN TRL
14F144276,20:07:44,46 DOMESTIC,200 ESSEX LN W
14F144277,20:16:02,911 HANG UP,700 BUCHANAN ST
14F144278,20:20:39,80 CIVIL INVEST,4000 REED ST
14F144279,20:21:09,46 DOMESTIC,9000 TIMBERMILL RUN
14F144280,20:24:41,16V PICKUP VID,00 MAIN ST E
14F144281,20:25:56,16V PICKUP VID,00 MAIN ST E
14F144283,20:26:22,"51,35",3300 DUPONT RD E
14F144312,20:27:06,"51,35",2000 EMERSON AVE
14F144282,20:27:07,30 TRAFFIC STOP,2400 JEFFERSON BLVD W
14F144284,20:31:20,48 SUSPICIOUS,400 WELLS ST
14F144285,20:37:10,911 HANG UP,700 BROADWAY
14F144286,20:39:07,34 TRAFF HAZARD,3200 DUPONT RD E & I 69 NB
14F144287,20:43:52,30 TRAFFIC STOP,5900 ANTHONY BLVD S & CHARTWELL DR
14F144288,20:46:02,911 HANG UP,900 EWING ST
14F144292,20:48:15,"102,TX THREATS",3400 MAXIM DR
14F144289,20:49:44,30 TRAFFIC STOP,800 COLISEUM BLVD E & CLINTON ST N
14F144290,20:50:05,46 DOMESTIC,5500 SQUIREDALE LN
14F144291,20:52:23,"48,36",500 COOMBS ST & COCHRANE ST
14F144293,21:05:39,30 TRAFFIC STOP,8800 LIMA RD & WALLEN RD W
14F144298,21:09:14,96 BATTERY,2000 OAKLAND ST
14F144294,21:09:45,"48,36",3700 MONROE ST S
14F144295,21:09:51,40A AUDIBLE,4100 JEFFERSON BLVD W
14F144297,21:11:35,911 HANG UP,2700 RADCLIFFE DR
14F144296,21:12:52,30 TRAFFIC STOP,3600 ANTHONY BLVD S & GRIER ST
14F144299,21:19:07,30 TRAFFIC STOP,4100 MONROE ST S & BAXTER ST
14F144300,21:19:33,25 PD ACCIDENT,4800 LIMA RD
14F144301,21:20:52,EMS,1200 FAIRFIELD AVE
14F144302,21:23:05,30 TRAFFIC STOP,900 PONTIAC ST E & GAY ST
14F144303,21:27:33,30 TRAFFIC STOP,1900 GOSHEN RD & HARRIS RD
14F144306,21:30:32,911 HANG UP,1300 HIGH ST
14F144304,21:32:24,48 SUSPICIOUS,600 LEWIS ST E & HANNA ST S
14F144305,21:32:32,42 INTOX PERSON,3700 MEDA PASS
14F144307,21:33:25,30 TRAFFIC STOP,2600 FAIRFIELD AVE & PONTIAC ST W
14F144308,21:37:15,45 NEIGHBORHOOD,4000 AVONDALE DR
14F144309,21:43:28,1 MEET,900 LIBRARY PLAZA
14F144310,21:46:10,34 TRAFF HAZARD,31600 I 69 SB
14F144311,22:01:14,30 TRAFFIC STOP,200 WILDWOOD AVE E & BARR ST S
14F144313,22:03:16,30 TRAFFIC STOP,1700 WAYNE ST E & ANTHONY BLVD S
14F144315,22:06:33,63 CONTACT,1000 WOODVIEW BLVD
14F144316,22:09:24,"102,TX THREATS",3300 COLISEUM BLVD W
14F144317,22:14:46,30 TRAFFIC STOP,3600 CLINTON ST S & OAKDALE DR E
14F144318,22:16:10,30 TRAFFIC STOP,2900 OXFORD ST & TURPIE ST
14F144319,22:18:33,"48,36",4700 WOODSTOCK DR
14F144320,22:22:21,30 TRAFFIC STOP,4700 AVONDALE DR & MAPLE GROVE AVE
